,Listed By,Listed By Cleaned,Neighborhood,Posting Date,Scrape Date,Source File Name,Title,url,treatment1,treatment2
4,322 East 94th Street Corp.,322east94thstreetcorp,UpperEastSide,10/6/2017,11/10/2017,craigslist_newyork_6335264614_20171110.json,East 94 St 2Br - No Fee,https://newyork.craigslist.org/mnh/abo/d/east-94-st-2br-no-fee/6335264614.html,0,0
11,Alessia Baccarini,alessiabaccarini,UpperEastSide,11/8/2017,11/10/2017,craigslist_newyork_6379535735_20171110.json,2bed/2baths in a luxury building on upper east side,https://newyork.craigslist.org/mnh/abo/d/2bed-2baths-in-luxury/6379535735.html,0,0
12,"Alexa Zuroff, current tenant--McCarthy Realty",alexazuroffcurrenttenantmccarthyrealty,UpperEastSide,11/10/2017,11/10/2017,craigslist_newyork_6381247560_20171110.json,"Big, beautiful 2 bedroom UES avail Dec 15, full year lease",https://newyork.craigslist.org/mnh/abo/d/big-beautiful-2-bedroom-ues/6381247560.html,0,0
13,All  apst in Washington Heights,allaptsinwashingtonheights,Inwood/WashHts,11/9/2017,11/10/2017,craigslist_newyork_6380496413_20171110.json,Owner apt NO FEE w162N/  way. Next to PRESB. HOSP.  NO FEE,https://newyork.craigslist.org/mnh/abo/d/owner-apt-no-fee-w162n-way/6380496413.html,0,0
17,Amazing Apartments,amazing2bedroom1bath,UpperEastSide,11/8/2017,11/10/2017,craigslist_newyork_6379600273_20171110.json,85th/york huge flex 2 bed FULL WALL OK IN ELV LAUNDRY BLDG. SUPER,https://newyork.craigslist.org/mnh/abo/d/85th-york-huge-flex-2-bed/6379600273.html,0,0
18,ANDREA TAVERA.........,andreatavera,TriBeCa,11/6/2017,11/10/2017,craigslist_newyork_6375688715_20171110.json,"AWESOME BIG, TRUE TWO BEDROOM/2 BATH, BIG LIVING SPACE....NO FEE....",https://newyork.craigslist.org/mnh/abo/d/awesome-big-true-two-bedroom/6375688715.html,0,0
21,APT for rent in manhattan::,aptforrentinmanhattan,LowerEastSide,10/19/2017,11/10/2017,craigslist_newyork_6352547596_20171110.json,GORGEOUS 2 BEDROOM --GREAT LOCATION on  ORCHARD/DELANCEY-- NO FEE,https://newyork.craigslist.org/mnh/abo/d/gorgeous-2-bedroom-great/6352547596.html,0,0
22,APT for rent in manhattan:: Owner Represented Midtown West,aptforrentinmanhattanownerrepresentedmidtownwest,LowerEastSide,11/2/2017,11/10/2017,craigslist_newyork_6370736356_20171110.json,GORGEOUS 2 BEDROOM LOCATED ON ORCHARD/DELANCEY-- NO FEE,https://newyork.craigslist.org/mnh/abo/d/gorgeous-2-bedroom-located-on/6370736356.html,0,0
30,Benny...................,benjaminn,UpperWestSide,11/10/2017,11/10/2017,craigslist_newyork_6381159798_20171110.json,Big Renovated 2 Bedroom-- BRIGHT Apt   ••••••. PICS •••••,https://newyork.craigslist.org/mnh/abo/d/big-renovated-2-bedroom/6381159798.html,0,0
33,Best deals of East Village,bestdealsofeastvillage,EastVillage,11/4/2017,11/10/2017,craigslist_newyork_6373990411_20171110.json,#NO FEE #NEWLY RENOVATED #SPACIOUS #BACKYARD # 6-N-R-W-L trains!,https://newyork.craigslist.org/mnh/abo/d/no-fee-newly-renovated/6373990411.html,0,0
35,Best Murray Hill Rentals,bestmurrayhillrentals,MurrayHill,11/5/2017,11/10/2017,craigslist_newyork_6375400563_20171110.json,GORGEOUS 2BDR Murray Hill/Elevator/Laundry/CITY VIEWS *NO FEE*,https://newyork.craigslist.org/mnh/abo/d/gorgeous-2bdr-murray-hill/6375400563.html,0,0
36,Better Living Properties Management LLC,betterlivingpropertiesmanagementllc,Nolita/Bowery,11/8/2017,11/10/2017,craigslist_newyork_6378817275_20171110.json,Prime Nolita Location with No Fee,https://newyork.craigslist.org/mnh/abo/d/prime-nolita-location-with-no/6378817275.html,0,0
44,Bryan Wolfe and co,bryanwolfeandco,UpperEastSide,10/28/2017,11/10/2017,craigslist_newyork_6364970364_20171110.json,"Large 2 bedroom apartment, Pet friendly",https://newyork.craigslist.org/mnh/abo/d/large-2-bedroom-apartment-pet/6364970364.html,0,0
57,Columbia South Apartments-Management,columbiasouthapartmentsmanagement,UpperWestSide,11/7/2017,11/10/2017,craigslist_newyork_6377365741_20171110.json,2 Bedroom on West 114th Street,https://newyork.craigslist.org/mnh/abo/d/2-bedroom-on-west-114th-street/6377365741.html,0,0
59,CoSo Apartments,cosoapartments,UpperWestSide,11/9/2017,11/10/2017,craigslist_newyork_6380599322_20171110.json,2 bedroom apt in the UWS gut renovated across beautiful morning side .,https://newyork.craigslist.org/mnh/abo/d/2-bedroom-apt-in-the-uws-gut/6380599322.html,0,0
60,Credit Check Fee Only,creditcheckfeeonly,MidtownWest,10/30/2017,11/10/2017,craigslist_newyork_6367719359_20171110.json,Amazing 2BR in a Brand New Building! Ask about the Terrace!,https://newyork.craigslist.org/mnh/abo/d/amazing-2br-in-brand-new/6367719359.html,0,0
62,Current tenant to find new tenant,currenttenanttofindnewtenant,UpperWestSide,11/6/2017,11/10/2017,craigslist_newyork_6375850510_20171110.json,"Roof top duplex 2Br apartment, private garden/deck, quiet and big.",https://newyork.craigslist.org/mnh/abo/d/roof-top-duplex-2br-apartment/6375850510.html,0,0
